XID,How Long do you stay here,Project name,Review
R395606,1 Year,Maple Sky Residences at Navins Starwood,"Believe me they are extremely good salesman because the best salesman gives false promises and a lot of their commitments are without proofs until you sign the dotted lines and then there is hell because it's a point of no return. One really need to read between lines and unfortunately we don't do it and end up with a place like this.

Personally I got super excited about the ""World class clubhouse"" which was the only reason I bought the house only to realize that they would charge an yearly membership of 10000+ gst for a silver package over and about the amount of 1.5 Lacs I already paid for clubhouse during purchase, in fact over an above-mentioned heavy maintenance fee that is already collected.

To make matter worse, they easily twisted words but using terms like ""usage charges"" and now they have given a 1 year of ""complementary"" membership and I would have to pay after first year.

Long story short, they need to care of their existing customers like us and I think in order to grow in their business they need to learn on how to get obsessed with customers - a leadership principles that made Amazon a 2Tillion $ company. Their mission statement of keeping customer in the middle of all their business endeavors is still on paper yet to turn to reality for many of us.

Don't fall prey to their marketing gimmicks. Do your due diligence and approach the existing owners to know more about our problems before you sign."
R395606,2 Years,Maple Sky Residences at Navins Starwood,"Visited navins by trusting its brand..
But after seeing the cost sheet iam totally frustrated..
Buyers ignorance makes the builders to loot their hard earned money..
1.Very low UDS just 250 for 1234 sqt.
2.You charge for super built up area is that allowed in RERA.
3.car parking stilt should not be charged ..
They are pricing very high than the market rate..
Not worth..."
R395606,2 Years,Maple Sky Residences at Navins Starwood,"The building was constructed using Mivan technology which is seismic resistant and durable.
Pricing is affordable and near to OMR IT park.
Carpet area is very high compared to other builders. Navin's is one of the reputed builder in India."
R395606,2 Years,Maple Sky Residences at Navins Starwood,"Navins team ..4years back I paid 1.5lakhs for clubhouse and waited eagerly and patiently for it.. .but the reality is the clubhouse facitilty is not upto the mark for more than 1000 families...you are not even letting me to step inside until I again pay for using it.. Already I am paying high charge as maintenance which was supposed to include the clubhouse And you are asking to pay again ..i do not see any value in paying additionally.. Please return the 1.5lakh back since I don't want to use it

Update:
Navins Team ..When I state the actual fact how do you say its social media sabotage???As a sole owner of my apartment in phase1 I have the right to review phase1. Wont you have accepted it if I had given you 5 stars??? How is this related to my husbands review for phase2??
I have waited for more than 4 years to get any of the amenity. I am not asking anything for free.Already I am paying high maintenance charges in exchange for substandard maintenance and I feel I dont need to pay more for the clubhouse and other amenities.So Please return back the amount you charged for clubhouse as I dont need it. You havent provided any solution to my problem."
R395606,2 Years,Maple Sky Residences at Navins Starwood,Visited the house. Could be better if grilled windows and fuĺly covered openable heavy grilled balconies are permitted to be installed in top floor houses considering children's safety. Otherwise good.
R395606,2 Years,Maple Sky Residences at Navins Starwood,"We are happy to be a part of Navins Starwood,Vengaivasal. Starting from day 1 visit to the apartment,the team was very patient in explaining the details.After that coordination from the CRM team was great and all the documents and process was explained in detail and clear. A special mention to Sumitha from CRM in making things clear and easy for us."
R395606,2 Years,Maple Sky Residences at Navins Starwood,Navin is a Quality and Trustworthy Builder. Very friendly and caring for others concern during price negotiations. I am proud to be one of the Owners of Navin's property
R395606,2 Years,Maple Sky Residences at Navins Starwood,A good place for community living. Place is well maintained clean and neat. Nice fresh air. Only occasionally you get the fumes from the nearby oil factory
R395606,2 Years,Maple Sky Residences at Navins Starwood,"Beware beware!!! there is no play area to play with my friends. Not recommended. Not good!!!!

You want us to play in so called broken play ground?
You want us to get hurt?
First of all pls fix your so called broken play ground!
It's not a 'sabotage'
it's the TRUTH.I have been living here for three years and still no change."
R395606,2 Years,Maple Sky Residences at Navins Starwood,"Pine 106. Reception was good. Representatives were courteous.
CRM priya, E.Karthic were the representatives.
Sales team member M.Karthik was showing me the project site. I was very happy with his attitude to show me the facilities in detail and was courteous.
"
R395606,2 Years,Maple Sky Residences at Navins Starwood,A community of well planned and constructed apartments. Massive lawn area adjacent to apartments in 1st floor and many more. Ideal apartments out of Chennai city to live peacefully
R395606,2 Years,Maple Sky Residences at Navins Starwood,"It was really a nice experience booking a flat at Navin's. CRM,Backend and the sales team done a great job and I convey my thanks to the team."
R395606,2 Years,Maple Sky Residences at Navins Starwood,There is no proper play area for children. The builders have collected ₹1.5 lakhs towards club house and continue to charge exorbitantly high usage charges.
R395606,2 Years,Maple Sky Residences at Navins Starwood,"I am very happy and satisfied that my home search ended with Navin’s Starwood, a nice calm place to live in. Navins sales persons are very helpful through out the sales process and I convey my special thanks to them."
R395606,2 Years,Maple Sky Residences at Navins Starwood,"The project is located in Medavakkam, near ELCOT SEZ. Medavakkam is one of the best residential areas near OMR and ECR. Navin's Starwood is most suitable for people who love calm and peaceful neighborhood."
R395606,2 Years,Maple Sky Residences at Navins Starwood,"The n No of Amenities shown are in name only, in reality facing lot of problems. Maintenance charge is high for poor service providing"
R395606,2 Years,Maple Sky Residences at Navins Starwood,Navins starwood is our first dream home and it was a smooth process buying with Navins.....We were satisfied with the price and all the amenities and a good experience with Navins
R395606,2 Years,Maple Sky Residences at Navins Starwood,Navins Starwood is one good place where you can feel safe(About the Purchase process) and satisfied about the Quality of project handed over
R395606,2 Years,Maple Sky Residences at Navins Starwood,"While coming to your site, I did not have an inclination to purchase the flat, after seeing the complex I was impressed very much, I have decided to purchase the flat, thank u"
R395606,2 Years,Maple Sky Residences at Navins Starwood,"Too many hidden and extra charges. Buying or renting, do plan for all the additional cost that will be added slowly."
R395606,2 Years,Maple Sky Residences at Navins Starwood,Very good customer service .. the finishing property looked clean and good. Handover and registration was a smooth process.
R395606,2 Years,Maple Sky Residences at Navins Starwood,"Nice ambience and good VFM, nearby to IT corridor and Vandalur new bus stop. Accessible to GST road."
R395606,2 Years,Maple Sky Residences at Navins Starwood,We are really happy to have received a Dream House with Navin's Housing.....Thank You so Much Team....!!!
R395606,2 Years,Maple Sky Residences at Navins Starwood,"I can see that there is an Oil Factory near this apartment. Wanted to know if there is any impact due to this factory such as air pollution,."
R395606,2 Years,Maple Sky Residences at Navins Starwood,Its all hunky dory in the ads but when it comes to reality as a buyer you are left hanging and you dont even get access to the club house. Buyer beware!
R395606,2 Years,Maple Sky Residences at Navins Starwood,Nice apartment and patient with answering questions. Smooth buying process.
R395606,2 Years,Maple Sky Residences at Navins Starwood,"Spacious appartment, but maintanence is very high."
R395606,2 Years,Maple Sky Residences at Navins Starwood,Navins starwood Tower in Medavakkam Excellent construction and amazing infrastructure
R395606,2 Years,Maple Sky Residences at Navins Starwood,Very good customer service .. the finishing property looked clean and good. Handover and registration was a smooth process.
R395606,2 Years,Maple Sky Residences at Navins Starwood,"Nice ambience and good VFM, nearby to IT corridor and Vandalur new bus stop. Accessible to GST road."
R395606,2 Years,Maple Sky Residences at Navins Starwood,We are really happy to have received a Dream House with Navin's Housing.....Thank You so Much Team....!!!
R354172,2 Years,Shapoorji Joyville Sensorium,"Total Fraud by Shapoorji. The Foul Smell from the Garbage Dumpyard is Unbearable!! * This place is nothing short of a nightmare. The garbage dump yard located right at the society’s entrance. The smell is absolutely horrible, and it’s impossible to ignore. * Every day, dozens of trucks bring garbage from Maan and Hinjawadi and dump it here. They’ve tried to hide it by putting up barricades, but the odor can’t be hidden. * The so-called riverfront view they advertise is actually a big sham. It is impossible to take a walk in the society and it's always smell like a gutter. Imagine your 1.5 CR+ investment and you are living in a gutter. * The builder is not taking any action despite multiple complaints from residents and owners. What’s worse. This pathetic builder is even sending notices to the people who are exposing this scam. * To make matters worse, some of this garbage is being dumped into the nearby river, which is also the water source for the society. Can you imagine how polluted the water is?"
R354172,2 Years,Shapoorji Joyville Sensorium,"Flat Buters are buying drinking water at the gate from outside agency why don't know . Common facilities like Recreation Hall and other facilitues may take more than 7-10 months to complete it seems. At the time of booking, very attractive promises were made to me like i will get Rental for my 2 BHK approx.ly 30,000 to 32,000 by Joyvilley concerned dep't. But after getting possession ladt week , found that Rent of Rs. 23,000 to 25,000 is not possible to get even after providing by me -buyer (not by Builder ) kitchen Trollies, Fans etc. In flat my flat. Furget about getting Rental equal to E.M.I. Installment Amount . Feels Cheated !!!!!!!!!!"
R354172,2 Years,Shapoorji Joyville Sensorium,Good project of shapoorji pallonji Few towers construction is completed Total 9 towers are there Construction speed is good and they maintained complet transparency with monthly construction updates
R354172,2 Years,Shapoorji Joyville Sensorium,"We are deeply disappointed that the local authorities are establishing a dumping ground next to our society towers, and the builder is not taking any action. This poses serious health risks, environmental damage, and decreases property values. I urge the builder to intervene and find a better solution."
R354172,2 Years,Shapoorji Joyville Sensorium,"Very nice project and view , loved the view , it’s heaven to live there . whatever has been shown in brochure has been delivered in realty .. happy for the quality and timely possession . Commitment has been delivered by Shapoorji, Thank you team Shapoorji "
R354172,2 Years,Shapoorji Joyville Sensorium,My experience with Shapoorji Pallonji Joyville has been smooth and satisfying. I highly recommend them to anyone looking for a trustworthy real estate developer with a strong commitment to quality and customer service.
R354172,2 Years,Shapoorji Joyville Sensorium,"#rude staff""The property is decent, but the customer service is absolutely third-rate. The entire team lacks proper training, showing a lazy and unprofessional attitude. It makes me wonder if this poor service culture starts from the top, allowing middle management to get away with such unacceptable behavior. It seems like the management or owners are completely unaware of how their brand image is being damaged."" ""The staff is unable to answer calls, showing a lack of basic customer service. This reflects poor management and a serious gap in training. Extremely disappointing experience."""
R354172,2 Years,Shapoorji Joyville Sensorium,The overall experience with the Shapoorji Pallonji Joyville Sensorium is fabulous. Very smooth procedure since booking to delivery. Special thanks to CRM Miss Sarita!
R354172,2 Years,Shapoorji Joyville Sensorium,"I visited Vanaha Golfland by Shapoorji Pallonji today and trust me, the flats have got the most beautiful view! Surrounded by greenery from all over, their flats are super spacious as well! Really looking forward to investing in this project."
R354172,2 Years,Shapoorji Joyville Sensorium,"Thanks to Joyville Sensorium Team to handover our dream home timely and a special thanks to Sarita Gurung she is very helpful and gave transparent update, Thanks Sarita you are so Good."
R354172,2 Years,Shapoorji Joyville Sensorium,"We recently took possession of our flat in Ambrosia, Sensorium. We found superiour build quality of construction, and some smart construction done so that not many pipes are visible. Mosquito mesh are provided which was not part of innitial deal. Overall looks good ."
R354172,2 Years,Shapoorji Joyville Sensorium,"After visiting the project, I can say it offers everything you need for modern living. The amenities are great, and the location is convenient. I think it’s a comfortable place for both families and professionals."
R354172,2 Years,Shapoorji Joyville Sensorium,"Very disappointed with the garbage dumping yard just outside the society, the stench is unbearable. SP is just buying time instead of solving the problem. Gram panchayat is useless, the people who are supposed to protect the environment are destroying it. Imagine this water would be supplied to residents. People who are buying flats here paying a crore or more of their hard earned money, BEWARE"
R354172,2 Years,Shapoorji Joyville Sensorium,Heavy foul smell due to the Big Garbage Dump yard right at the gate of Society. This has created bad experience for residents. Unfortunately builder is not doing much.
R354172,2 Years,Shapoorji Joyville Sensorium,It was nice experience with Shapoorji and Palonji starting from the first visit till possession. Everyone was quite cooperative and helpful
R354172,2 Years,Shapoorji Joyville Sensorium,I love the nature and I found the perfect property to feel connected to the nature...Vanaha Glofland by Shapoorji Pallonji is surrounded by greenery and their flats have beautiful views! It might have just become my favourite site!
R354172,2 Years,Shapoorji Joyville Sensorium,"Joyville Sensorium is perfect. The location is convenient, and the amenities provide everything needed for a comfortable lifestyle. The property also has extensive green spaces and recreational zones, which my family loves. It’s a great investment."
R354172,2 Years,Shapoorji Joyville Sensorium,It's shame that I need to reduce 5 Star rating to lowest rating possible just cause of recently made garbage dumpyard near by society. It's becoming very smelly everyday and difficult to live. 'Joy' in Joyville is getting replaced by 'Garbage' resulting Garbage ville and SP administration is least bothered about it. The ultra luxurious homes with all premium amenities are being downgraded just because SP is totally ignorant about this dumpyard and it's hazardous impact on Joyville residents. What an ultra luxurious shame..☹️
R354172,2 Years,Shapoorji Joyville Sensorium,I’ve been eyeing Joyville Sensorium for my next investment. Its location is perfect for both families and professional. And the amenities are top notch!
R354172,2 Years,Shapoorji Joyville Sensorium,Recently got possession of my apartment.Journey from booking the flat till getting handover was awesome. The construction quality of Shapoorji is something that I have always vouched for. Thank you for keeping your promises and going beyond that.Kudos to your internal teams specifically the CRM team.
R354172,2 Years,Shapoorji Joyville Sensorium,"Vanaha Golfland is an amazing place to live. The greenery and peaceful environment make it stand out. The amenities are excellent, and it’s well-connected to important areas."
R354172,2 Years,Shapoorji Joyville Sensorium,Convenience is at its best at Joyville Sensorium! Visited the property today and loved it's location and the flats! Booking soon...
R354172,2 Years,Shapoorji Joyville Sensorium,I visited this property today and i absolutely love the fact that it is so near from the main Pune!! All the roads are well connected and its easy to reach there
R354172,2 Years,Shapoorji Joyville Sensorium,Joyville Sensorium is a great choice for anyone working in the IT sector. It’s close to Hinjawadi and offers excellent amenities. The peaceful environment makes it a relaxing place to come home to.
R354172,2 Years,Shapoorji Joyville Sensorium,The unit is as it was promised at the time of booking. The quality of work seems to be good. No leakage or seepage was detected. The view from Ambrosia will have the sunken garden and then the river. I was happy to see that they have actually kept a lot of space (as advertised) for the sunken garden
R354172,2 Years,Shapoorji Joyville Sensorium,Visited Sensorium by SP yesterday and really loved the flat arrangements! The flats are very spacious as well!
R354172,2 Years,Shapoorji Joyville Sensorium,Pune has a lot of projects but one caught my eye with its amazing amenities and great location!
R354172,2 Years,Shapoorji Joyville Sensorium,Just visited this property in pune and its truly mindblowing! the surroundings are really good and the area is very well planned!
R354172,2 Years,Shapoorji Joyville Sensorium,Vanaha Golfland has the most exquisite flats and the most extraordinary view!! I visited the property yesterday and can't stop talking about it to everyone!
R354172,2 Years,Shapoorji Joyville Sensorium,The area and the campus is well planned...theres a lot of space to enjoy the environment at Sensorium.
R354172,2 Years,Shapoorji Joyville Sensorium,"This project offers everything you could want in a modern residential development. The amenities are abundant, and the location is perfect for easy access to the city’s major areas"
R354172,2 Years,Shapoorji Joyville Sensorium,Joyville Sensorium offers well-planned amenities and a location that’s ideal for families. It’s a great choice for those looking for a comfortable lifestyle in Pune.
R354172,2 Years,Shapoorji Joyville Sensorium,Joyville Sensorium offers a convenient location and well-planned amenities. It’s a project worth looking into for anyone wanting to settle in Pune.
R354172,2 Years,Shapoorji Joyville Sensorium,"Very nice project , a unique concept and project no issues of water and electricity at all , location is very commutable i just love this project"
R354172,2 Years,Shapoorji Joyville Sensorium,"I pass by this project a lot of times a week, and I have observed the construction very closely. The quality looks amazing, and the apartments are very well-designed. I personally recommend this project to people looking for a project that has amenities for children, too. It has amenities for every age group."
R354172,2 Years,Shapoorji Joyville Sensorium,"Joyville Sensorium is well connected to all major areas of Pune, making it a convenient option for city dwellers. The amenities are fantastic too."
R354172,2 Years,Shapoorji Joyville Sensorium,The project is very beautifully built in a great location that offers convenience to the residents!
R354172,2 Years,Shapoorji Joyville Sensorium,Too good man! I have been wanting to invest n a property in Pune and I think this is the one!
R354172,2 Years,Shapoorji Joyville Sensorium,It was great being a part of Joyville group. Great experience.
R354172,2 Years,Shapoorji Joyville Sensorium,"Please don't be fool with Marketing tactics.
1.It comes under gram panchayat, so lots of problem of Electricity and water.

2.Flat privacy is highly compromised by odd even terrace despite paying 97.3 Lakhs for 2bhk.

3.Go and ask any joyville resident they are not happy with there investment, no single owner is able to sell there house as no one wants to buy at this site.

4.Maintenance is high as water tanker comes frequently.
5.Project was is RED ZONE also due to extreme close to river.

6.No roads , no public transport connectivity, no shops near by.

7. No one knows the future but currently its for sure not a good investment."
R354172,2 Years,Shapoorji Joyville Sensorium,"Joyville sensorium in pune has really caught my eye. The amenities are fantastic, and the location offers easy access to everything you need I am seriously thinking about investing here because it looks like it s going To be a gem in pune"
R354172,2 Years,Shapoorji Joyville Sensorium,Sensorium is situated in a very nice locality and all the necessary stores are nearby..thinking of investing in a property here
R354172,2 Years,Shapoorji Joyville Sensorium,"Very recently, I am informed that there is a serious issue with regards to health and environment. There is a dumping station due to which the smell is very bad, unhygienic and troublesome. SP has to urgently look in to this and ensure that it is removed immediately. It only reflects the poor quality of a reputed builder of the stature of SP. Hope SP will take immediate action and restore confidence of the residents."
R354172,2 Years,Shapoorji Joyville Sensorium,"The amenities are wonderful, must check out this one if you are planning to invest!"
R354172,2 Years,Shapoorji Joyville Sensorium,"Been watching this project develop, and it looks amazing so far! Excited to see the final result!"
R354172,2 Years,Shapoorji Joyville Sensorium,This project by Shapoorji Pallonji is outstanding because of the nature and even more because of the spacious apartments!
R354172,2 Years,Shapoorji Joyville Sensorium,"Sensorium is another mess same as Joyville ..overpriced , no amenities, high maintenance cost and moreover entire staff and FM team are corrupt and act like local goons . SHAME on SP . Wonder how people are giving 5 star here or paid reviews"
R354172,2 Years,Shapoorji Joyville Sensorium,"The extensive amenities make it an attractive option, and the location is ideal for those who want to be close to everything in Pune. This is a project worth considering"
R354172,2 Years,Shapoorji Joyville Sensorium,Overall fantastic experience. We took possession and found fantastic quality construction including the common areas and the fittings used inside the flat.
R354172,2 Years,Shapoorji Joyville Sensorium,Those who like good amenities in society they should definitely go for this. Also those who want very less problems after getting flat and good service while leaving in society then this is good option. Also this builder handover flats before timeline. If we talk about other problems then forget about it it will be there everywhere. So I will suggest go for this.... 5* from my side for everything. Just small request to builder and management be as it as you are always. Thanks.....!!
R354172,2 Years,Shapoorji Joyville Sensorium,"Our journey of homeownership via shapoorji was superb throughout. We were always helped along the way by their CRM team, and eventually we got exactly what we expected when receiving possession via the Shapoorji team."
R354172,2 Years,Shapoorji Joyville Sensorium,"I am considering this project in Pune, very beautifully built!"
R354172,2 Years,Shapoorji Joyville Sensorium,"This new project is coming up in a very convenient location that is close to all the major hotspots and the daily needs of the residents. It is by a very well-known builder, Shapoorji Pallonji Real Estate, whose projects never disappoint."
R354172,2 Years,Shapoorji Joyville Sensorium,"The project seems designed with the modern resident in mind, offering comfort and convenience. It’s definitely one of the top projects I’m looking at"
R354172,2 Years,Shapoorji Joyville Sensorium,"I am currently residing in this area. Listing the issues here - 1) ""Approach road to this society"" from Hinjewadi-Maan road (near HP petrol pump) is very bad. No Street light on this road, so unsafe for travel after 6pm specially for ladies and childrens.. 2) Frequent power cuts - very unreliable power supply. 3) Water supply issue."
R354172,1 Year,Shapoorji Joyville Sensorium,Shapoorji Group is a brand that we can trust. Their projects are always top-notch and attractive. Joyville Sensorium by them is another amazing project with luxurious amenities. It offers great interiors and green surroundings that make it stand out from other projects in the locality.
R354172,1 Year,Shapoorji Joyville Sensorium,Wanted to book but reviews changed my mind .I can't risk overpriced flat for life time problem. Builder must clear all light and water problems else any project in wagholi is better than this sp project.
R354172,1 Year,Shapoorji Joyville Sensorium,We had a very good possession experience at Sensorium the staff was very polite and answered all our questions. It's more then value for money....keep up the good work.
R354172,1 Year,Shapoorji Joyville Sensorium,"Don't go with the builder name, it's very inside projects and the buil quality is not good, there are lots of issues in the plot 1 joyville. They are. Just selling on the builder name nothing else, there is no single shop beside the project, no public transport. Even there is power cut issue even the water is came by tankers due to such bad water lots of health issues as well as everyone in the society having hair fall problem. Very bad experience i have ever had and the sales team also not good, don't buy here."
R354172,1 Year,Shapoorji Joyville Sensorium,"in Joyville No water source other than river & tankers. In summer it will be hard to get water unless strong source from MIDC or Borewells are dug. Maan cant offer much water. Power shortage & frequent outage is another issue. this also needs to be attended by builder. Bad approch road n less no of street lights in rainy season also needs to be addressed Builder will have to use influence to get water from MIDC or Borewells. otherwise place will be hell in summer due to no water supply n many towers coming up. Please get other reliable source of water in writing in agreement. Concrete approch road from main road needs to be constructed by builders. For power, state govt needs to enhance capacity to provide uninterupted power."
R354172,1 Year,Shapoorji Joyville Sensorium,Beauty at its finest. Would highly encourage y’all to invest in a place that offers you best of all worlds - from service to atmosphere. You wont regret it.
R354172,1 Year,Shapoorji Joyville Sensorium,"Not even worth giving 1 star. Whoever is buying Sansorium, you are being fooled. You are buying pathetic property at a premium rate. Monthly maintenance is equal to rent of 1 RK ie 5k. I am an owner at joyville Hinjewadi which is situated just beside this so called another best project - Sansorium. Facilities to name few: - Very poor and savage management by SP - Power cuts more than 12 hrs - yellow and dirty drinking water - even no water for more than 15 hrs. - pathetic security To be noted that all other societies in the same location have better living conditions. SP has given a lame excuse of no permission for borewell though a nearby society has borewell. This is all happening currently and it has been only 1 yr since possession. Don't get fooled by good reviews. They are all brochure based."
R354172,1 Year,Shapoorji Joyville Sensorium,"Be very careful while buying it. There's loads of power cut off, water is still provided by tankers. Such a hard water which will harm your health. Even for basic necessities you have to go almost 3 kms. Poor infra and worst maintenance team. I mean they don't allow delivery boy inside the main premises"
R354172,1 Year,Shapoorji Joyville Sensorium,"No positive reponse from Builder. Only making false promises. Be very careful while buying it. There's loads of power cut off, water is still provided by tankers. Such a hard water which will harm your health."
R354172,1 Year,Shapoorji Joyville Sensorium,"SP Joyville sensorium is a good future for future perspective for family perspective, sales representatives Jyotsana & Manish assisted in a beautiful and friendly manner and cleared all my queries. I booked last tower Helius and positive for future. One must buy here if you like peace and nature with all luxury amenities. Even MIS international school is opening in a walking distance. CRM Ruchira is helpful and always ready to assist me in any query."
R330371,1 Year,Coco County,"COCO county is from the County group which has delivered some good projects in Noida. This project is quite conpact, kitchen is smaller then expected, club and swimming pool is maintained well"
R330371,1 Year,Coco County,"An ambitious project from the well known builder ABA Corp. From the developer's of Cleo County, Cherry County, Orange County. spread in 4.5 acre. All the flats are of 1152 sq ft, 3 bhk. Although rooms are little bit small but it's okay. Build quality is very good. Total there are only three towers, which is good. The club is very beautiful.

I am editing my review after possession. Wasn't expected from County group for this third class project. Below are the observation:-

1. The hardware used in flat are not up to the mark. Compromised with the quality.

2. The behaviour of maintenance team is arrogant.

3. It seems you are a tenant in your home.

4. You are not allowed to do any changes in your flat. Like balcony covering, show rack outside etc.

5. Even the design of the flat is like, if you're not covering your balcony, anyone can jump and enter in your flat from corridor. Easily accessible. Security threat.

6. If you want to book club banquet hall then There are specified vendor, you are bound to go with them. Monopoly. You can not choose the vendor as per your choice."
R330371,1 Year,Coco County,The quality of construction is great of this project. Location is great because of close proximity to Knowledge Park 5. Lots of amazing developments coming in sector-10 and 12. One of the best project in this area to invest.
